"","V1","V2"
"prc",0.679446680042345,1000
"prc",0.692259362524412,507
"prc",0.346525102726312,1000
"prc",0.925687535090701,904
"prc",0.748644260662224,566
"prc",0.356745404236786,1000
"prc",0.618719114737366,1000
"prc",0.316096106581025,1000
"prc",0.223354391097365,1000
"prc",0.653104227127544,640
"prc",0.762772490434787,731
"prc",0.266257080215705,1000
"prc",0.421529314943461,1000
"prc",0.917408242287187,1000
"prc",0.42730036701094,1000
"prc",0.873504998710226,577
"prc",0.22938733834609,1000
"prc",0.864558428288529,518
"prc",0.614213740128805,1000
"prc",0.604456455172861,311
"prc",0.57317009174685,415
"prc",0.921404785924025,601
"prc",0.852586769909762,767
"prc",0.515563950885964,1000
"prc",0.548268389414229,1000
"prc",0.631545789138067,758
"prc",0.708336841826345,291
"prc",0.84647400645247,334
"prc",0.565774348671822,1000
"prc",0.95892267113588,547
"prc",0.268303828850096,1000
"prc",0.847076944988586,342
"prc",0.532922000380269,1000
"prc",0.924045694051493,451
"prc",0.79753961038447,1000
"prc",0.772635414329011,843
"prc",0.948188573304637,650
"prc",0.568435580633288,1000
"prc",0.955708718639525,434
"prc",0.831460647924128,541
"prc",0.779663902168692,546
"prc",0.10842746051704,1000
"prc",0.567146023424963,755
"prc",0.953269280474998,767
"prc",0.473902516761868,1000
"prc",0.371691270579821,1000
"prc",0.221842804816825,1000
"prc",0.958788802317691,606
"prc",0.600889955866424,643
"prc",0.679804578587851,429
"prc",0.811317338854732,557
"prc",0.929211426279781,496
"prc",0.957081770825693,430
"prc",0.938189158572213,579
"prc",0.647776054300587,732
"prc",0.551724172061967,1000
"prc",0.811069507334454,553
"prc",0.277931603312894,1000
"prc",0.781576349144327,632
"prc",0.16626725710545,1000
"prc",0.185650366614116,584
"prc",0.756136536260373,268
"prc",0.423075185863338,1000
"prc",0.419917608026926,543
"prc",0.748890792905335,491
"prc",0.514383832354135,1000
"prc",0.281881416734381,1000
"prc",0.664860142184896,277
"prc",0.215930811464787,1000
"prc",0.878439127677577,424
"prc",0.51083883102618,268
"prc",0.40620077661403,1000
"prc",0.606299455607237,1000
"prc",0.74199575032071,1000
"prc",0.468502327288483,388
"prc",0.638545676791931,396
"prc",0.431255499552022,1000
"prc",0.324858699786824,1000
"prc",0.524740543305399,1000
"prc",0.63275975622602,428
"prc",0.469001259142168,1000
"prc",0.839539406373732,544
"prc",0.556530880026848,1000
"prc",0.495910194806353,1000
"prc",0.805838445785875,380
"prc",0.553456279878304,251
"prc",0.373017964097397,1000
"prc",0.913467612665366,259
"prc",0.387849348149828,332
"prc",0.379853077326518,1000
"prc",0.46369424873196,812
"prc",0.938589818474344,821
"prc",0.190288942099238,1000
"prc",0.883105876691201,490
"prc",0.493455012297513,1000
"prc",0.601046309879451,348
"prc",0.836127342866259,293
"prc",0.126527570661742,1000
"prc",0.426466211341321,1000
"prc",0.486513535083619,1000
"prc",0.937297447054994,540
"prc",0.959675329408663,612
"prc",0.623201992694909,1000
"prc",0.758489866932744,222
"prc",0.33085737929022,1000
"prc",0.587844610780331,488
"prc",0.643539992134982,1000
"prc",0.891818027103356,580
"prc",0.131149709398183,519
"prc",0.322292925008554,1000
"prc",0.891255650285851,584
"prc",0.312046897285709,1000
"prc",0.853453821621324,251
"prc",0.535914402893544,1000
"prc",0.773443462391037,721
"prc",0.657316712654543,1000
"prc",0.402314885640334,1000
"prc",0.70838517457265,1000
"prc",0.743948362548562,547
"prc",0.541371043671069,351
"prc",0.541568960502525,1000
"prc",0.755841503330671,550
"prc",0.600758955221733,1000
"prc",0.317080764055033,1000
"prc",0.479742531226035,1000
"prc",0.423353421226253,1000
"prc",0.864954859146154,480
"prc",0.0222295020650342,1000
"prc",0.761507761710342,639
"prc",0.958426575733385,308
"prc",0.662692497155684,211
"prc",0.4051328160853,1000
"prc",0.598413843844159,563
"prc",0.931254921316662,283
"prc",0.717827440924285,970
"prc",0.377256159192207,1000
"prc",0.343947442234037,1000
"prc",0.855521833368888,773
"prc",0.325541290562673,1000
"prc",0.329249204867976,1000
"prc",0.730863195014387,1000
"prc",0.9584113295537,527
"prc",0.725674668591762,319
"prc",0.546611254767643,1000
"prc",0.472767710682443,1000
"prc",0.755113463027074,551
"prc",0.929297424971546,351
"prc",0.648080381902629,354
"prc",0.91934830119249,541
"prc",0.901012660442468,375
"prc",0.206454056793751,1000
"prc",0.764319235842456,381
"prc",0.715494852878299,508
"prc",0.698451307565704,585
"prc",0.563405200546863,579
"prc",0.897672921930458,701
"prc",0.697613029443641,1000
"prc",0.803707155015539,330
"prc",0.757052594704517,314
"prc",0.625817943455688,598
"prc",0.598275500267708,1000
"prc",0.148546974088668,1000
"prc",0.95413403165545,574
"prc",0.675166117821765,547
"prc",0.36869690708743,1000
"prc",0.669372804289428,254
"prc",0.993182198664941,336
"prc",0.886435783842542,301
"prc",0.423664293188017,666
"prc",0.555645099872102,1000
"prc",0.510056979081721,1000
"prc",0.590273859762203,1000
"prc",0.7754669187627,401
"prc",0.632786524810773,471
"prc",0.719961373543221,1000
"prc",0.886088544694597,326
"prc",0.390577631589281,1000
"prc",0.44558027841096,1000
"prc",0.37183520564426,1000
"prc",0.780183085843044,284
"prc",0.432334784105712,1000
"prc",0.276108693856673,1000
"prc",0.824610581895446,446
"prc",0.934073994005391,1000
"prc",0.32709359676778,1000
"prc",0.313769088488291,1000
"prc",0.741921344260667,251
"prc",0.820698384341656,519
"prc",0.324771486906444,1000
"prc",0.312408860032538,1000
"prc",0.417781679279299,259
"prc",0.853676218064685,692
"prc",0.33513153235775,1000
"prc",0.732722609705639,629
"prc",0.295405373285872,1000
"prc",0.386164099452469,1000
"prc",0.469708174184768,1000
"prc",0.661363877830844,997
"prc",0.294213899922575,898
"prc",0.836216739488437,269
"prc",0.806902980121473,343
"prc",0.774161440758582,315
"prc",0.819956334280398,591
"prc",0.774097292510537,728
"prc",0.39220462522159,494
"prc",0.85835182851217,866
"prc",0.332773538535351,1000
"prc",0.400864208168989,1000
"prc",0.249796304268507,1000
"prc",0.816128765497649,230
"prc",0.436664248397209,1000
"prc",0.738690300488516,228
