"","V1","V2"
"prc",0.32686051187909,68
"prc",0.332685070816501,63
"prc",0.26717378038566,78
"prc",0.228200905859178,43
"prc",0.405826912361982,66
"prc",0.321575122463754,73
"prc",0.432061023921067,149
"prc",0.189510707166411,74
"prc",0.246329184764193,49
"prc",0.273727526156341,96
"prc",0.280606358371602,52
"prc",0.378566586828115,67
"prc",0.337310147912917,72
"prc",0.357569731552994,83
"prc",0.423835644467606,52
"prc",0.345686616773772,90
"prc",0.26310358603978,36
"prc",0.367070596704771,87
"prc",0.454388515357951,87
"prc",0.540286909049998,109
"prc",0.309217583016657,41
"prc",0.372456597185639,61
"prc",0.394619729203702,90
"prc",0.314193061732084,49
"prc",0.368264364970884,70
"prc",0.264066077597512,68
"prc",0.239385004202817,55
"prc",0.432349881060494,78
"prc",0.453277131015727,79
"prc",0.254377443955517,64
"prc",0.431329148512918,89
"prc",0.370150989554457,115
"prc",0.280104428774805,62
"prc",0.312335366788229,55
"prc",0.339796909713095,100
"prc",0.533933428551308,91
"prc",0.241636685315958,65
"prc",0.236948900602247,67
"prc",0.360344450430689,63
"prc",0.356968303732391,75
"prc",0.304789637236253,48
"prc",0.304325190951829,74
"prc",0.379118980804057,122
"prc",0.229023626453115,70
"prc",0.429595177562761,57
"prc",0.14522732256583,46
"prc",0.322219211207885,82
"prc",0.299382797848872,60
"prc",0.29295018973322,71
"prc",0.192124801424752,63
"prc",0.487348933770486,64
"prc",0.468014326059606,82
"prc",0.310348395131821,84
"prc",0.486592215435105,62
"prc",0.289620697407563,62
"prc",0.355275959993037,56
"prc",0.480620391018433,85
"prc",0.374086626201101,87
"prc",0.273733023777239,69
"prc",0.397921459376447,84
"prc",0.509330038159867,133
"prc",0.265507839967625,63
"prc",0.436812247870234,83
"prc",0.29611149303469,44
"prc",0.176329318591229,56
"prc",0.319939992688231,114
"prc",0.354096321417019,128
"prc",0.298349528892294,49
"prc",0.230767274373302,72
"prc",0.249287488267154,63
"prc",0.19487731546474,61
"prc",0.301354664738893,91
"prc",0.333845729886682,79
"prc",0.296754954158895,72
"prc",0.303362627187379,70
"prc",0.454904219751776,73
"prc",0.508125174203705,115
"prc",0.252714869198298,76
"prc",0.473079503153944,106
"prc",0.262701655014729,67
"prc",0.267465566137586,78
"prc",0.364959117104025,72
"prc",0.381100765345253,70
"prc",0.299577719244887,51
"prc",0.473109307158373,87
"prc",0.422191633997923,77
"prc",0.289453143550667,70
