"","V1","V2"
"prc",0.397309197614189,86
"prc",0.2609952339845,69
"prc",0.104601690393106,83
"prc",0.328425382602248,125
"prc",0.176773865624587,52
"prc",0.12602155412319,79
"prc",0.345887473074938,111
"prc",0.16428913068565,65
"prc",0.13303520374904,53
"prc",0.267878532514944,99
"prc",0.186309940458878,73
"prc",0.346898769136591,75
"prc",0.215485439540581,81
"prc",0.166101318537349,44
"prc",0.155773510475479,51
"prc",0.336553265419058,73
"prc",0.134817252255264,56
"prc",0.161567338122804,65
"prc",0.227636010772275,69
"prc",0.400806269055488,70
"prc",0.425846092878823,132
"prc",0.222803404218262,59
"prc",0.362569501574023,92
"prc",-0.0190390242612464,60
"prc",0.185518285955905,62
"prc",0.240487314704532,65
"prc",0.250269544887466,70
"prc",0.285841505257321,82
"prc",0.0903005336610345,77
"prc",0.314123491639746,77
"prc",0.360242435813279,108
"prc",0.209634929496941,50
"prc",0.242164205470415,62
"prc",0.267520187481526,71
"prc",0.295839381186182,120
"prc",0.280789490288452,85
"prc",0.262927296365812,102
"prc",0.247928671900037,41
"prc",0.268605527183607,71
"prc",0.153337432005917,70
"prc",0.379509386033934,125
"prc",0.218060343946677,82
"prc",0.196834253446729,84
"prc",0.0690571074806811,48
"prc",0.304665917766134,69
"prc",0.390315996908911,94
"prc",0.434892765611556,83
"prc",0.148034667720123,82
"prc",0.212357810839883,98
"prc",0.30187232018841,65
"prc",0.266492371043081,97
"prc",0.432341325278029,112
"prc",0.243117367924173,74
"prc",0.292418263786947,72
"prc",0.315501392487455,104
"prc",0.147046530506318,58
"prc",0.31815258230384,89
"prc",0.232555999694045,83
"prc",0.361981853378718,63
"prc",0.137752595718621,73
"prc",0.204164337839603,71
"prc",0.276694334737281,74
"prc",0.101903545275495,47
"prc",0.265154112182083,114
"prc",0.138764334512491,81
"prc",0.252246058415804,60
"prc",0.303575240703318,88
"prc",0.252677174329064,77
"prc",0.0409144726524349,41
"prc",0.262741185963957,112
"prc",0.400874406677561,85
"prc",0.303462759288594,105
"prc",0.200044535320234,66
"prc",0.147433657233293,94
"prc",0.188694607562239,66
"prc",0.217079194588678,50
"prc",0.215052481511535,76
"prc",0.105363901575443,74
"prc",0.343004557631873,71
"prc",0.387518913023101,75
"prc",0.137247194322648,66
"prc",0.299829836984658,113
"prc",0.276065451089366,101
"prc",0.19382666262515,32
"prc",0.303291281204324,53
"prc",0.263673141495891,76
"prc",0.22480618436483,87
"prc",0.0958165552331062,55
"prc",0.318389880374786,86
"prc",0.256500058215952,64
"prc",0.278964048082411,78
"prc",0.29681069852693,69
"prc",-0.0148424053814847,48
"prc",0.188662403341492,93
"prc",0.333111867679228,94
"prc",0.233952410321811,50
"prc",0.203897266593561,72
"prc",0.244850388501369,58
"prc",0.348872668484737,80
"prc",0.373416703438989,88
"prc",0.357927239159049,81
"prc",0.0914949141566952,64
"prc",0.303607924738899,104
"prc",0.103091949665663,61
"prc",0.266528616629304,70
"prc",0.236821326116356,87
"prc",0.194341299201581,58
"prc",0.281795635516755,85
"prc",0.215814575849411,74
"prc",0.100159000387214,69
"prc",0.19862404714512,59
"prc",0.195418777859989,77
"prc",0.171855450008411,55
"prc",0.355420323374279,62
"prc",0.118823840207439,71
"prc",0.298686655118568,93
"prc",0.369631044463729,78
"prc",0.44196008754392,100
"prc",0.23714202385131,121
"prc",0.286069157723264,99
"prc",0.379111076481458,104
"prc",0.410264451232209,96
"prc",0.0321157666681992,24
"prc",0.389089241949385,113
"prc",0.207253124285763,63
"prc",0.0156086886576468,46
"prc",0.375474419988254,123
"prc",0.0915029904004369,50
"prc",0.207679028608654,58
"prc",0.226616980964135,63
"prc",0.471831142489488,107
"prc",0.303057872976414,69
"prc",0.253491072806018,62
"prc",0.487333929265356,128
"prc",0.0833550536701931,53
"prc",0.266829029901099,44
"prc",0.0940189310422569,88
"prc",0.124877812570856,59
"prc",0.286707908346537,99
"prc",0.174593503649858,62
"prc",0.170921083894449,52
"prc",0.320545321139233,79
"prc",0.250564076083566,57
"prc",0.127854473284154,65
"prc",0.340838941720716,73
"prc",0.338182490382015,76
"prc",0.205541077736199,89
"prc",0.342512917084638,58
"prc",0.242154905736702,87
"prc",0.490794835504254,132
"prc",0.320243076161098,58
"prc",0.10595662134316,60
"prc",0.26622331830262,56
"prc",0.0219894331250815,60
"prc",0.380299595220234,103
"prc",0.210156521823202,53
"prc",0.204988848461276,93
"prc",0.132492488462423,62
"prc",0.344373488972128,54
"prc",0.384040529230774,90
"prc",0.0943367640708811,42
"prc",0.2371952419928,66
"prc",0.199444634453028,81
"prc",0.0545084805142901,59
"prc",0.0575697734820492,64
"prc",0.25609398527007,95
"prc",0.330876675737912,71
"prc",0.157031709786377,89
"prc",0.208979571808915,75
"prc",0.298222963405937,80
"prc",0.275395235548654,55
"prc",0.178431154013904,51
"prc",0.261364301214104,72
"prc",0.342863960210599,101
"prc",0.0260848101054081,70
"prc",0.322347854133239,93
"prc",0.415029008593684,88
"prc",0.203768566448388,77
"prc",0.263964974548503,89
"prc",0.426548531901858,72
"prc",0.318362565800255,71
"prc",0.227900199623431,94
"prc",0.299533729263965,112
"prc",0.216338173053958,76
"prc",0.318333756184826,106
"prc",0.186534862343094,82
"prc",0.15964503618852,85
"prc",0.223252336717046,111
"prc",0.166039275341466,92
"prc",0.257390484095314,88
"prc",0.373158179972887,116
"prc",0.237842170188715,72
"prc",0.29758034306204,96
"prc",0.335043219369197,95
"prc",0.116244369224079,61
"prc",0.205520256634747,103
"prc",0.447273325614777,107
"prc",0.119390265285951,62
"prc",0.189006082631794,63
"prc",0.249376274262391,96
"prc",0.193645355553622,73
"prc",0.322910830844559,99
"prc",0.251749064034015,89
"prc",0.143451478250106,44
"prc",0.363597706295824,75
"prc",0.159221072401304,83
"prc",0.180975560654393,84
"prc",0.150359577244312,44
"prc",0.237513088887448,85
"prc",0.325445050957211,75
"prc",0.316505312880538,106
"prc",0.223953413669129,68
"prc",0.25817938870513,93
"prc",0.209791175761881,67
"prc",0.287589243764843,114
"prc",0.251686819094763,85
"prc",0.266885890889018,105
"prc",0.38265833493176,97
"prc",0.266239296317685,48
"prc",0.168235224522102,74
"prc",0.23714636079337,98
"prc",0.151091044836897,92
"prc",0.292152421112976,87
"prc",0.306070406185646,88
"prc",0.254743153613755,68
"prc",0.129652053729868,82
"prc",0.340708410417862,92
"prc",0.263662288866974,76
"prc",0.239834026483107,77
"prc",-0.00903600846362465,72
"prc",0.311867587742414,64
"prc",0.218473067616989,61
"prc",0.348769938707918,78
"prc",0.227934035148161,80
"prc",0.240555564112797,69
"prc",0.425152534190657,80
"prc",0.172864694310644,52
"prc",0.246523850050609,40
"prc",0.310944702451976,66
"prc",0.196347548490774,90
"prc",0.193566276920211,60
"prc",0.351995978028532,79
"prc",0.336892179784675,61
"prc",0.170319108038812,89
"prc",0.131513144482365,38
"prc",0.287477655073756,70
"prc",0.319966824989602,57
"prc",0.22036278416357,64
"prc",0.058054208851182,57
"prc",0.20088004734778,99
"prc",0.373718080709634,64
"prc",0.35188348727109,106
"prc",0.150654378482597,48
"prc",0.270384637507172,101
"prc",0.199661542591639,60
"prc",0.0456379068555201,47
"prc",0.216463063041059,63
"prc",0.331919233262009,103
"prc",0.244508958637495,94
"prc",0.305200263706273,65
"prc",0.190028333927359,77
"prc",0.163143670726476,70
"prc",0.352353616111145,92
"prc",0.121655479516177,65
"prc",0.469057716603811,112
"prc",0.179864030469976,58
"prc",0.356952472432316,94
"prc",0.202113254141227,83
"prc",0.213022606265549,98
"prc",0.176864559731136,52
"prc",0.32291877927633,80
"prc",0.253715334691692,70
"prc",0.277322847372396,67
"prc",0.253754775750396,73
"prc",0.259389919878038,78
"prc",0.369047923976026,78
"prc",0.0766856096340709,75
"prc",0.18301787136223,88
"prc",0.130542941534362,55
"prc",0.296994449367254,110
"prc",0.287198793243288,123
"prc",0.253428213651036,84
"prc",0.174336753593776,68
"prc",0.281130776668205,68
"prc",0.299855246335432,101
"prc",0.353014714706634,79
"prc",0.147771358622019,65
"prc",0.154009090258064,66
"prc",0.185874499380954,54
"prc",0.22279150510919,51
"prc",0.00063668346370333,58
"prc",0.155039934071384,80
"prc",0.163080738376388,47
"prc",0.119968761538575,68
"prc",0.343124315510047,55
"prc",0.095760148608071,63
"prc",0.243654165622303,79
"prc",0.209753065613171,99
"prc",0.224228360003646,81
"prc",0.279903171269187,63
"prc",0.316545765301779,57
"prc",0.248012054286368,79
"prc",0.175334172220718,73
"prc",0.31371494704547,91
"prc",0.407445176468395,64
"prc",0.348026240500987,85
"prc",0.363435453788797,91
"prc",0.301578366977217,74
"prc",0.393824189615564,57
"prc",0.324600946120005,94
"prc",0.246174653730921,120
"prc",0.295524795954664,93
"prc",0.242396838486231,90
"prc",0.217442163874797,64
"prc",0.269551258283466,81
"prc",0.383724102366478,107
"prc",0.139711919902532,64
"prc",0.359060542323882,67
"prc",0.318912534803134,114
"prc",0.215268541535856,67
"prc",0.133338194991663,75
"prc",0.0910018612347616,58
"prc",0.265398410018533,67
"prc",0.235070774000887,55
"prc",0.244064259543358,81
"prc",0.165201096628774,80
"prc",0.341165084480856,79
"prc",0.237815174179827,86
"prc",0.120833764987925,82
"prc",0.355101537752312,83
"prc",0.419782254819795,103
"prc",0.36640003497968,97
"prc",0.167001506719903,42
"prc",0.111154273789486,71
"prc",0.274352568127671,93
"prc",0.085017755902281,68
"prc",0.040272936275795,62
"prc",0.0867596899048772,44
"prc",0.312048393915426,82
"prc",0.132360646820664,38
"prc",0.11443790711216,67
"prc",0.316520169729129,87
"prc",0.0215954153817695,51
"prc",0.236160803013664,69
"prc",0.284408782871677,67
"prc",0.121409079107346,72
"prc",0.190578513022914,62
"prc",0.218282676150876,122
"prc",0.31474549373064,121
"prc",0.0820927031089862,46
"prc",0.0845185449121374,81
"prc",0.156454476352105,86
"prc",0.356345821624056,88
"prc",0.130058838555261,83
"prc",0.33837783711515,101
"prc",0.392443056079176,131
"prc",0.314269333227136,57
"prc",0.200607229408936,70
"prc",0.344809862256927,98
"prc",0.110218613120435,45
"prc",0.428351848748531,86
"prc",0.330075590165387,56
"prc",0.2180819917609,57
"prc",0.225849666479683,60
"prc",0.0299613619450589,57
"prc",0.23946694314909,73
"prc",0.162031325370019,53
"prc",0.403755075635626,85
"prc",0.109124794375498,52
"prc",0.28487990484436,87
"prc",0.271908929962391,75
"prc",0.347007769349707,117
"prc",0.124523376400272,49
"prc",0.255436353190875,78
"prc",0.265706054624992,59
"prc",0.164357592836844,70
"prc",0.274671405653524,79
"prc",0.330101513551073,88
"prc",0.331362046796609,61
"prc",0.10812672569033,71
"prc",0.284009775106393,71
"prc",0.107790099733655,85
"prc",0.347833052291444,79
"prc",0.20815541670749,71
"prc",0.276005086426934,105
"prc",0.262180407183866,90
"prc",0.174207393401759,47
"prc",0.219303739998289,78
"prc",0.126045836169072,53
"prc",0.222972863259652,50
"prc",0.0137585916677855,79
"prc",0.0503162600764749,66
"prc",-0.0025541877805018,51
"prc",0.313194817910245,60
"prc",0.2563274422949,88
"prc",0.343143028252229,80
"prc",0.154651773622004,67
"prc",0.344922198425869,89
"prc",0.233929590334586,78
"prc",0.214796515025527,71
"prc",0.362217797579372,88
"prc",0.156251000173518,52
"prc",0.409570783084971,94
"prc",0.368159763337953,61
"prc",0.353782717037909,53
"prc",0.246265102561435,69
"prc",0.276182426286807,67
"prc",0.202004659488322,67
"prc",0.159367811480701,40
"prc",0.192450111050469,70
"prc",0.322769747683687,102
"prc",0.115378072719163,45
"prc",0.160875164069893,52
"prc",0.330164295580402,73
"prc",0.13865198813671,56
"prc",0.130130278683067,70
"prc",0.110392496694865,50
"prc",0.218446749102726,101
"prc",0.161528350699821,62
"prc",0.100986982428323,61
"prc",0.331347624277605,82
"prc",0.250538334658497,81
"prc",0.308539072925718,66
"prc",0.374652497331228,93
"prc",0.220924458721214,71
"prc",0.340440533223343,64
"prc",0.101171638561029,83
"prc",0.293229833856663,56
"prc",0.0327798429596256,59
"prc",0.337901449169343,138
"prc",0.211820053291124,76
"prc",0.153061115709864,56
"prc",0.305568688751527,69
"prc",0.316805668419373,77
"prc",0.345359246917069,76
"prc",0.0737064390671531,74
"prc",0.222419070872277,97
"prc",0.053515616286199,59
"prc",0.0822297152428541,61
"prc",0.181431512531514,68
"prc",0.299541836647481,82
"prc",0.287800735652392,101
"prc",0.20794995636177,82
"prc",0.17668808670331,69
"prc",0.126483067199405,40
"prc",0.256969093386376,98
"prc",0.170345239163395,59
"prc",0.098058424776,54
"prc",0.329513767176929,61
"prc",0.0909122552126463,61
"prc",0.105193818576871,50
"prc",0.157139033357631,67
"prc",0.258615208912696,61
"prc",0.220832909960574,53
"prc",0.244940957968562,68
"prc",0.0908508316619212,83
"prc",0.27452698640224,94
"prc",0.300817325871127,105
"prc",0.315202692526794,95
"prc",0.37825070734501,103
"prc",0.123154799209853,61
"prc",0.392376989273574,98
"prc",0.286838764494888,64
"prc",0.089520800295925,53
"prc",0.145964785609851,74
"prc",0.19955411339617,71
"prc",0.330894750638719,75
"prc",0.233398228699579,35
"prc",0.16930344184048,78
"prc",0.0946090960444189,102
"prc",0.123800941446668,69
"prc",0.0475262009691191,64
"prc",0.121206560476007,78
"prc",0.0374779196790255,61
"prc",0.24074574253604,104
"prc",0.338866241187606,96
"prc",0.214872435972222,88
"prc",0.29177056877189,59
"prc",0.144154889381162,69
"prc",0.320177135716065,86
"prc",0.229136754589648,87
"prc",0.307607522084852,53
"prc",0.345911859889862,92
"prc",0.284346808021632,112
"prc",0.268731358486739,105
"prc",0.301930917898449,63
"prc",0.128935318559445,72
"prc",0.291869846285211,83
"prc",0.0673224371440672,66
"prc",0.478362318851857,77
"prc",0.421474318245572,117
"prc",-0.0315063023574504,63
"prc",0.0764616499073329,63
"prc",-0.0142273761817784,60
"prc",0.194682402653236,58
"prc",0.0224049101276871,41
"prc",0.152137285180974,45
"prc",0.071517812398938,86
"prc",0.0886354215652225,85
"prc",0.311741770975949,124
"prc",0.0650353384814134,49
"prc",0.24292878718718,71
"prc",0.260338458247191,63
"prc",0.224817319621022,77
"prc",0.204751417774835,71
"prc",0.324497171851679,114
"prc",0.0999028127586615,69
"prc",0.151353654262665,92
"prc",0.28711350025317,88
"prc",0.12696903785225,67
"prc",0.180911594572404,61
"prc",-0.0670577057587056,53
"prc",0.340688055354152,79
"prc",0.345908077839378,62
"prc",0.170884702804718,93
"prc",0.273623201993988,112
"prc",0.253746059765473,96
"prc",0.271978235273239,53
"prc",0.260056517278757,76
"prc",0.206167450734396,88
"prc",-0.0335221793275217,56
"prc",0.42037382603276,73
"prc",0.165332961168925,69
"prc",0.214228655676193,53
"prc",0.223064109215915,90
"prc",0.198876458128604,52
"prc",0.329349865335789,80
"prc",0.201118065954971,63
"prc",0.195370866724144,79
"prc",0.150411109283256,81
"prc",0.342025951213276,91
"prc",0.177811480289435,59
"prc",0.0834663211545158,75
"prc",0.0584380225701185,67
"prc",0.273791296012407,77
"prc",0.263746215311226,83
"prc",0.222202278876348,110
"prc",0.298767207265174,58
"prc",0.20805235176685,62
"prc",0.271167522753297,134
"prc",0.307245707599464,88
"prc",0.306451483958529,72
"prc",0.228900784735988,49
"prc",0.191015971189767,72
"prc",0.250253187982621,57
"prc",0.228203662170974,59
"prc",0.323992022815635,62
"prc",0.167040076098478,103
"prc",0.0774865613880513,96
"prc",0.17006435356532,80
"prc",0.36148974864698,92
"prc",0.340564857976895,82
"prc",0.383004025433614,72
"prc",0.341598716764711,68
"prc",0.24195991388303,93
"prc",0.29318842620041,111
"prc",0.289601338755011,87
"prc",0.0799114820211395,78
"prc",0.35078667696821,63
"prc",0.162503585540598,56
"prc",0.21540034829648,70
"prc",0.169292946044977,77
"prc",0.146964953828274,76
"prc",0.277731283936997,66
"prc",0.121237903994179,44
"prc",0.305469061605011,95
"prc",0.233419181785418,73
"prc",0.27593422704778,63
"prc",0.228826482342921,112
"prc",0.18188776465772,81
"prc",0.238935512254544,68
"prc",0.30539429223868,64
"prc",0.213428377045921,58
"prc",0.259958844968556,103
"prc",0.203854412668951,89
"prc",0.198917411350298,84
"prc",0.280094700412752,99
"prc",0.339850529854588,98
"prc",0.211496706181571,62
"prc",0.21593042447113,64
"prc",0.13032064305308,66
"prc",0.0976068491697786,50
"prc",0.0768343099488822,65
"prc",0.275897985920767,54
"prc",0.143614482755006,51
"prc",0.241608791096939,105
"prc",0.211939030822513,70
"prc",0.0951093273728575,57
"prc",0.110001472690526,65
"prc",0.370919636943852,79
"prc",0.221736688876123,84
"prc",0.23740890155519,72
"prc",0.302456108251331,91
"prc",0.272685511053321,97
"prc",0.316049263382641,103
"prc",0.24740364370265,60
"prc",0.124160564378105,83
"prc",0.491677383403476,79
"prc",0.309304786790984,107
"prc",0.223452631194218,66
"prc",0.0761741474997617,79
"prc",0.247193807118353,75
"prc",0.200545711839919,65
"prc",0.289320933494863,67
"prc",0.38669173128976,71
"prc",0.104424399091022,74
"prc",-0.0940525367608586,60
"prc",0.224045579080726,57
"prc",0.236738325737819,62
"prc",0.123771528806446,83
"prc",0.240797786477351,86
"prc",0.440077485930923,79
"prc",0.209596202436506,71
"prc",0.20649274358325,53
"prc",0.39760081812502,123
"prc",0.168195283477761,55
"prc",0.193480230761948,81
"prc",0.313271858849033,105
"prc",0.340766199824912,115
"prc",0.272159795409762,96
"prc",0.320491823878998,74
"prc",0.13463247666245,47
"prc",0.225852072889296,65
"prc",0.342831165819867,126
"prc",0.285389426113928,81
"prc",0.185749356621767,58
"prc",0.112527411488232,64
"prc",0.138397296686182,81
"prc",0.199015548892557,77
"prc",0.363494996235468,97
"prc",0.274143990039844,113
"prc",0.327658329332594,69
"prc",0.385466832284469,75
"prc",0.164066092007538,69
"prc",-0.00611125995596761,58
"prc",0.185928931829483,83
"prc",0.183148579972102,70
"prc",0.333698975269902,78
"prc",0.345800795960423,79
"prc",0.183324647940348,98
"prc",0.154868609785997,54
"prc",0.193509694632033,54
"prc",0.331187364802988,82
"prc",0.372857790636081,90
"prc",0.217935024231271,72
"prc",0.234251249034286,92
"prc",0.198363630095972,56
"prc",0.285957186277773,74
"prc",0.369246981365643,109
"prc",0.419730846919667,91
"prc",0.256614549046784,58
"prc",0.0770923424297578,41
"prc",0.0919452009139144,52
"prc",0.361147069437703,78
"prc",0.305267891399197,84
"prc",0.125450442148939,86
"prc",0.183313915802202,53
"prc",0.342437596009752,145
"prc",0.218383752977676,90
"prc",0.219700674193309,85
"prc",0.312069245910491,78
"prc",0.255318211377781,84
"prc",0.246371846665336,65
"prc",0.298846864738027,82
"prc",0.220148002180435,80
"prc",0.18315419630458,46
"prc",0.270925272469518,61
"prc",0.169014258368909,43
"prc",0.22644755378119,140
"prc",0.387672395204541,98
"prc",0.307019745048099,96
"prc",0.217465621033026,34
"prc",0.0331003133133602,52
"prc",0.157070868329291,56
"prc",0.216547206443661,96
"prc",0.310443713577446,98
"prc",0.287869364812733,61
"prc",0.260021734120069,93
"prc",0.173410314752574,66
"prc",0.22530548679825,75
"prc",0.147208701710801,93
"prc",0.197813988893622,73
"prc",0.481501426488691,103
"prc",0.0218897231504796,52
