"","V1","V2"
"prc",0.192899350496922,226
"prc",0.600062426188778,246
"prc",0.81696955456088,227
"prc",0.239271512175271,1000
"prc",0.914516645045403,190
"prc",0.349238248594361,1000
"prc",0.272010868308226,1000
"prc",0.555128836867345,177
"prc",0.934101672797446,244
"prc",0.541636168573271,196
"prc",0.749292640052005,234
"prc",0.431476865907145,1000
"prc",0.904428505484818,289
"prc",0.300915882422169,1000
"prc",0.783747444102796,227
"prc",0.938064890548441,245
"prc",0.310086842745579,1000
"prc",0.604520838506812,244
"prc",0.568663760006209,232
"prc",0.291054877048614,1000
"prc",0.159115902784408,1000
"prc",0.400842162995764,1000
"prc",0.348552687577538,1000
"prc",0.558935670146134,1000
"prc",0.52231238100349,193
"prc",0.848516577726924,199
"prc",0.88291655485427,220
"prc",0.903050432666479,102
"prc",0.921120571785186,191
"prc",0.478461189359865,187
"prc",0.318836563945766,1000
"prc",0.752795927582637,230
"prc",0.88535739152747,160
"prc",0.700141266371836,539
"prc",0.839326960399893,164
"prc",0.537983080933017,1000
"prc",0.624630949039962,209
"prc",0.83501247168683,223
"prc",0.867636687231853,205
"prc",0.907025356924198,1000
"prc",0.10509143138067,1000
"prc",0.43953875258711,219
"prc",0.700710907943693,209
"prc",0.425534924739862,1000
"prc",0.503474231891553,214
"prc",0.424290108868816,283
"prc",0.87061861554599,229
"prc",0.823081821805852,233
"prc",0.252664280049138,1000
"prc",0.413437416632568,1000
"prc",0.872199010021765,479
"prc",0.597675032356717,173
"prc",0.96668328092817,352
"prc",0.815976758423608,215
"prc",0.340809339502205,245
"prc",0.776039835376044,187
"prc",0.77295382351925,191
"prc",0.819939619943719,158
"prc",0.737019879168228,234
"prc",0.251008815485619,1000
"prc",0.967643353686321,182
"prc",0.24485707133278,259
"prc",0.873852071562307,183
"prc",0.216669672550268,1000
"prc",0.980388485023058,201
"prc",0.558303458524831,207
"prc",0.572304849987667,441
"prc",0.843994680125558,219
"prc",0.502889253875496,1000
"prc",0.979511105592417,184
"prc",0.657180542829355,179
"prc",0.364788653648586,168
"prc",0.809324453064405,275
"prc",0.995533972449016,204
"prc",0.904153855051845,285
"prc",0.689504375407363,189
"prc",0.514770561372679,193
"prc",0.820760992903481,188
"prc",0.949524768144257,235
"prc",0.77138568783252,219
"prc",0.76441315279397,235
"prc",0.763882816376566,238
"prc",0.350268324243599,184
"prc",0.18783271234099,1000
"prc",0.513312709335165,220
"prc",0.834176506025388,145
"prc",0.942156351491005,226
"prc",0.573353624062649,236
"prc",0.867584174088038,156
"prc",0.940654410998903,201
"prc",0.399896749700693,1000
"prc",0.899997043094653,209
"prc",0.814706208951333,417
"prc",0.706396007417318,170
"prc",0.752160187609786,199
"prc",0.902443720036935,316
"prc",0.885241333157847,288
"prc",0.742627094034106,218
"prc",0.926281805570219,199
"prc",0.489026754391471,194
"prc",0.880390810113692,246
"prc",0.228488093348695,1000
"prc",0.720363356300867,177
"prc",0.202513471438787,1000
"prc",0.597463137515839,274
"prc",0.955756608926344,200
"prc",0.952896415009437,177
"prc",0.938082336932056,197
"prc",0.774756282485802,225
"prc",0.907487922558086,180
"prc",0.525649913394568,1000
"prc",0.361046400610358,1000
"prc",0.932497016199883,200
"prc",0.818475284385404,206
"prc",0.604266519606406,1000
"prc",0.904828081555738,184
"prc",0.952025927301935,218
"prc",0.552908485696706,1000
"prc",0.716042796816385,205
"prc",0.487938961087196,233
"prc",0.973375625050097,164
"prc",0.503695020866854,1000
"prc",0.754454928642029,187
"prc",0.379876516951138,232
"prc",0.789401286542233,1000
"prc",0.563408571634003,1000
"prc",0.928950988103216,210
"prc",0.573466691928094,229
"prc",0.176710846541705,203
