"","V1","V2"
"prc",0.914514042793171,360
"prc",0.294529098596643,1000
"prc",0.956368819563924,598
"prc",0.976535889575733,349
"prc",0.43812323745121,325
"prc",0.590679357001814,345
"prc",0.279363076239459,1000
"prc",0.779303953352877,434
"prc",0.281950670050676,1000
"prc",0.200141024891944,1000
"prc",0.981952266320221,316
"prc",0.973564277676975,348
"prc",0.426694073040659,1000
"prc",0.954772503142629,303
"prc",0.500790523673755,1000
"prc",0.962531343166369,304
"prc",0.198985179417091,1000
"prc",0.394932247305691,284
"prc",0.251322640917246,1000
"prc",0.582788894877166,1000
"prc",0.39341900819803,1000
"prc",0.973774091824524,260
"prc",0.288744928138878,1000
"prc",0.894253281246432,318
"prc",0.782339407277166,567
"prc",0.885098898801587,267
"prc",0.557796120926665,248
"prc",0.903935607075326,294
"prc",0.389775074771879,325
"prc",0.13840123111236,1000
"prc",0.608227541190116,1000
"prc",0.47836587545188,531
"prc",0.253903635329768,1000
"prc",0.889395776615642,353
"prc",0.231830422105085,1000
"prc",0.590539180874532,309
"prc",0.674510551598288,308
"prc",0.90150104070484,705
"prc",0.555920654449101,1000
"prc",0.548089999246101,1000
"prc",0.956218746271642,338
"prc",0.74833757131744,334
"prc",0.601138892805606,1000
"prc",0.43278016506329,1000
"prc",0.538371399374788,1000
"prc",0.565591455035496,316
"prc",0.908308608466577,518
"prc",0.838107215057985,261
"prc",0.574066628044581,318
"prc",0.954726425008666,569
"prc",0.707634050116016,311
"prc",0.557135268260597,266
"prc",0.647922896323543,404
"prc",0.0941249482342791,1000
"prc",0.931851409247839,352
"prc",0.801067445317612,260
"prc",0.479774051044575,413
"prc",0.648096070624888,271
"prc",0.140767397008215,1000
"prc",0.923978106392657,205
"prc",0.714356814465832,1000
"prc",0.399521249058638,1000
"prc",0.811225423249325,1000
"prc",0.950827826298408,334
"prc",0.512716896859381,293
"prc",0.268965560024896,1000
"prc",0.523437233577829,753
"prc",0.751944109440836,1000
"prc",0.347238945377735,1000
"prc",0.953836134634912,345
"prc",0.89456438817376,272
"prc",0.71096120864226,221
"prc",0.384805066127549,257
"prc",0.550398774548598,1000
"prc",0.504264970967436,400
"prc",0.944879176204695,253
"prc",0.746569885242292,809
"prc",0.822661127685113,298
"prc",0.777886051894622,350
"prc",0.545600654758221,279
"prc",0.802343169793341,276
"prc",0.494176842057347,1000
"prc",0.0539126278030887,1000
"prc",0.848574441373713,462
"prc",0.805209120625959,438
"prc",0.43121623994746,219
"prc",0.850285955741271,335
"prc",0.625356284061483,229
"prc",0.851363002331745,305
"prc",0.959230052078983,433
"prc",0.443306410024308,1000
"prc",0.834449502529905,388
"prc",0.496386980327467,563
"prc",0.740583716608657,267
"prc",0.453393200187414,1000
"prc",0.586790294815585,323
"prc",0.940965268715267,291
"prc",0.434214166137299,297
"prc",0.477155772808793,1000
"prc",0.257177174748561,1000
"prc",0.697970596269942,343
"prc",0.166677335806775,318
"prc",0.262278147327038,1000
"prc",0.917565920490625,287
"prc",0.680421080969858,298
"prc",0.559950554478256,1000
"prc",0.325852003254033,1000
"prc",0.898574219833986,396
"prc",0.917679901782642,367
"prc",0.596082769873022,272
"prc",0.910243478822796,307
"prc",0.207578815985471,275
"prc",0.962863931395844,241
"prc",0.832540047793266,278
"prc",0.933929910207642,267
"prc",0.601161181168886,335
"prc",0.374040517846451,282
"prc",0.533713247480565,1000
"prc",0.701171526667096,242
"prc",0.530010862577451,1000
"prc",0.607934033790348,314
"prc",0.399946790092314,1000
"prc",0.745505863855429,328
"prc",0.653084272527885,304
"prc",0.753910041039846,329
"prc",0.619414209346013,1000
"prc",0.632131785346085,263
"prc",0.795466673566467,1000
"prc",0.514233001340181,1000
"prc",0.920916762495158,265
"prc",0.299674653704917,1000
"prc",0.668731976254825,318
"prc",0.642400777398736,1000
"prc",0.564586780335316,343
"prc",0.476023866101077,1000
"prc",0.893652109401848,247
"prc",0.767972875176472,364
"prc",0.608228484716485,338
"prc",0.604104718278144,1000
"prc",0.732718073991219,279
"prc",0.891373892196034,355
"prc",0.64427567316767,1000
"prc",0.581570654514008,232
"prc",0.92987170208282,323
"prc",0.127699035438983,356
"prc",0.935523244022739,383
"prc",0.414168894199618,253
"prc",0.544409577935642,371
"prc",0.195073780591107,1000
