"","V1","V2"
"prc",0.764405348100791,105
"prc",0.23285691121447,500
"prc",0.769682259198424,129
"prc",0.388392576357423,500
"prc",0.916902983086366,113
"prc",0.141769400844533,500
"prc",0.568020374550685,102
"prc",0.960361092040936,71
"prc",0.795090064698575,132
"prc",0.966107343159178,129
"prc",0.933415294058767,106
"prc",0.340505631692781,500
"prc",0.681884413320279,99
"prc",0.711771176360986,85
"prc",0.953788567526156,100
"prc",0.84541653083893,85
"prc",0.537835748832782,500
"prc",0.596213284879923,137
"prc",0.932115732299566,152
"prc",0.434383718333408,101
"prc",0.862305152887369,95
"prc",0.35295144048556,500
"prc",0.888978796938033,98
"prc",0.79223667922448,99
"prc",0.944220030369858,105
"prc",0.966324512043274,100
"prc",0.793305123653993,127
"prc",0.961211866160453,124
"prc",0.914886090155764,127
"prc",0.935144178067133,95
"prc",0.302596344592451,500
"prc",0.899882874972023,104
"prc",0.700954759676082,113
"prc",0.494971767515309,254
"prc",0.614769002778784,100
"prc",0.711940688208914,118
"prc",0.483424320014413,500
"prc",0.754887662590573,110
"prc",0.793047157883206,108
"prc",0.833598851125833,101
"prc",0.478629321645142,79
"prc",0.974168604595915,105
"prc",0.375632220736942,500
"prc",0.335691208202465,122
"prc",0.869459986549747,161
"prc",0.816251624695153,97
"prc",0.502195487487696,500
"prc",0.746940833470766,107
"prc",0.578445547863512,500
"prc",0.847166318893798,121
"prc",0.612063331200796,106
"prc",0.747597592691069,71
"prc",0.602948477336516,80
"prc",0.649308322043176,110
"prc",0.727173652572959,201
"prc",0.699913990346021,135
"prc",0.821664022153937,99
"prc",0.668665056162532,96
"prc",0.263254933978851,500
"prc",0.970601211165023,110
"prc",0.586988068249661,96
"prc",0.553496494761431,111
"prc",0.803115550036013,105
"prc",0.616891160287766,143
"prc",0.695095924377514,133
"prc",0.761588210011741,91
"prc",0.928724458176351,72
"prc",0.67557809883546,81
"prc",0.733833480845479,133
"prc",0.7053677084874,84
"prc",0.456928483566598,500
"prc",0.856450523313719,156
"prc",0.477605092622267,110
"prc",0.873047236727514,108
"prc",0.978250072520299,75
"prc",0.847335358068128,92
"prc",0.297651870094568,500
"prc",0.962546422712359,122
"prc",0.62578029624716,98
"prc",0.846737320041832,96
"prc",0.570798665924253,96
"prc",0.745019346439079,82
"prc",0.934597905999159,58
"prc",0.634166058362918,88
"prc",0.787882991144251,90
"prc",0.965332546864874,141
"prc",0.703628968913108,75
"prc",0.498366391240601,82
"prc",0.586739954949521,86
"prc",0.771750070401193,89
"prc",0.848966224000369,123
