"","V1","V2"
"prc",0.474184843444393,90
"prc",0.178361764912329,57
"prc",0.28137578009153,32
"prc",0.264163865116151,54
"prc",0.159052261563895,40
"prc",0.313701869952218,91
"prc",0.154059709053414,18
"prc",0.174684088563766,55
"prc",0.210867082443928,50
"prc",0.390288422466712,68
"prc",0.323224411489917,70
"prc",0.218746003314451,39
"prc",0.233555448419944,62
"prc",0.114905626892532,67
"prc",0.23751268422852,71
"prc",0.210388896910328,23
"prc",0.0569337203057812,37
"prc",0.314596670813785,34
"prc",0.163460776465854,27
"prc",0.342225481970601,103
"prc",0.16065171846079,39
"prc",0.277891862525002,50
"prc",0.134415629142895,31
"prc",0.568953421055613,114
"prc",0.226148242285731,46
"prc",0.478664277160686,44
"prc",0.305965822767649,106
"prc",0.449871643557232,49
"prc",0.20580201671404,61
"prc",0.195418760177004,38
"prc",0.265697539220655,48
"prc",0.194448777087873,55
"prc",0.271897061573999,66
"prc",0.324476817299009,75
"prc",0.386042677056337,84
"prc",0.302835739595523,47
"prc",0.313142796402578,43
"prc",0.288597227988546,105
"prc",0.303155436084478,72
"prc",0.187312440047333,35
"prc",0.29877106242101,78
"prc",0.403149910743951,100
"prc",0.231158656279063,37
"prc",0.385987813916313,46
"prc",0.30901683545361,69
"prc",0.169870168832587,62
"prc",0.237495389266816,56
"prc",0.173510841838833,47
"prc",0.229442291655669,39
"prc",0.207408806040847,28
"prc",0.274867930028624,74
"prc",0.205309494906927,50
"prc",0.2373429590922,93
"prc",0.151135445707021,70
"prc",0.0937106449062041,50
"prc",0.286646232937335,53
"prc",0.242985565842988,69
"prc",0.245896451606908,66
"prc",0.146333325751783,49
"prc",0.349875030523422,94
"prc",0.218348984137068,61
"prc",0.192915087229408,69
"prc",0.454709786883208,101
"prc",0.241515641134123,49
"prc",0.320102777328233,30
"prc",0.0607594554582793,26
"prc",0.318822828849011,50
"prc",0.31024295885682,54
"prc",0.27266207224799,52
"prc",0.169142814972894,39
"prc",0.232768686696997,67
"prc",0.201409343216459,44
"prc",0.27780518926954,65
"prc",0.260156399364054,76
"prc",0.573429644050661,79
"prc",0.266579894607375,67
"prc",0.233645598973312,54
"prc",0.291665980144787,51
"prc",0.285171690167056,52
"prc",0.343501164537361,84
"prc",0.293673174711602,73
"prc",0.196229545302762,33
"prc",0.224636071042395,51
"prc",0.138774701941064,46
"prc",0.230916915466534,70
"prc",0.260096061711072,43
"prc",0.260634175498294,55
"prc",0.228329797604066,42
"prc",0.434645457289675,111
"prc",0.302576155612136,55
"prc",0.235958450189883,48
"prc",0.355125805248379,36
"prc",0.250731126473596,33
"prc",0.220553418730623,62
"prc",0.239640778720415,64
"prc",0.184336907705475,44
"prc",0.275703453057281,60
"prc",0.139158718222204,56
"prc",0.258619947040855,70
"prc",0.156850654018824,44
"prc",0.195323740545952,51
"prc",0.16630538847334,44
"prc",0.199470627082183,85
"prc",0.337739078790388,80
"prc",0.316658112586969,98
"prc",0.132288170468756,31
