"","V1","V2"
"prc",0.139064227978462,48
"prc",0.455895009345065,75
"prc",0.200689392093679,63
"prc",0.20815862701731,43
"prc",0.207705545204819,36
"prc",0.298006234258669,71
"prc",0.23194648937377,60
"prc",0.155726245679874,31
"prc",0.301533907510194,101
"prc",0.256600080813263,68
"prc",0.297146651050733,89
"prc",0.297904374002497,68
"prc",0.392935601572744,94
"prc",0.165099484941867,53
"prc",0.182114889045228,67
"prc",0.191693151402378,48
"prc",0.303940022330658,51
"prc",0.217382620835823,71
"prc",0.204387586411527,64
"prc",0.41445209717725,48
"prc",0.422975017954687,82
"prc",0.224902332666348,40
"prc",0.192292990513402,58
"prc",0.439896898915553,51
"prc",0.135811173938324,43
"prc",0.209278155127905,63
"prc",0.268029361722406,51
"prc",0.20900341032219,81
"prc",0.221801000988549,52
"prc",0.386442903061671,91
"prc",0.310410901669084,77
"prc",0.192800831262789,57
"prc",0.159083406444749,19
"prc",0.158773623819043,60
"prc",0.169940844784655,46
"prc",0.303073608656505,54
"prc",0.228458768069452,65
"prc",0.268947455661517,47
"prc",0.334580738262328,85
"prc",0.170734324288719,72
"prc",0.218477697577875,30
"prc",0.215649329804468,88
"prc",0.151956119733296,26
"prc",0.286147754742015,50
"prc",0.336018321297917,39
"prc",0.178500260107183,55
"prc",0.246988576659567,58
"prc",0.288441150673282,92
"prc",0.23165929512833,56
"prc",0.260479517916181,53
"prc",0.203641881237135,41
"prc",0.4632832623012,75
"prc",0.190542681950199,49
"prc",0.351375444427717,53
"prc",0.150229696081586,54
"prc",0.142040658221562,78
"prc",0.131090538945487,67
"prc",0.234543989131081,54
"prc",0.644078007753865,95
"prc",0.341103783250951,63
"prc",0.207316549939523,55
"prc",0.261899580346859,35
"prc",0.294724671370259,43
"prc",0.267694761200498,80
"prc",0.250592417760076,84
"prc",0.268116119027357,78
"prc",0.276256801024737,60
"prc",0.283926924704483,74
"prc",0.184727166428176,68
"prc",0.197853636159288,79
"prc",0.235010706651591,46
"prc",0.234918617973214,50
"prc",0.271824938864904,78
"prc",0.339561148390503,69
"prc",0.146643883436188,43
"prc",0.26080518945029,69
"prc",0.370561813393462,106
"prc",0.264414627809698,81
"prc",0.406228251374856,89
"prc",0.156260766351742,41
"prc",0.308016554515115,53
"prc",0.280462336663485,63
"prc",0.225365883606103,57
"prc",0.170524967628002,47
"prc",0.446238967116155,107
"prc",0.291518740009918,70
"prc",0.346077016397909,82
"prc",0.341425363142774,69
"prc",0.175564393196438,59
"prc",0.287222758829594,63
"prc",0.17188069583702,40
"prc",0.193886607481605,48
"prc",0.462718950299838,90
"prc",0.243023867232396,51
"prc",0.234011525730146,68
